"You will be redirected to Adyen website when you place an order.", "Vous allez être redirigé vers le site d'Adyen au passage de votre commande."
"%s ( Qty: %s ) (Price: %s %s ) <br />","%s ( Qty: %s ) (Price: %s %s ) <br />"
"Adyen %s <br /> authResult: %s <br /> pspReference: %s"
"Adyen %s <br /> eventCode: %s <br /> pspReference: %s <br /> success: %s"
"Adyen response(s): %s <br /> pspReference: %s", "Réponse d'Adyen: %s <br /> pspReference: %s"
"Authorize Only","Alleen autorisatie", "Authorisation seulement"
"Authorize and Capture","Autoriseren en bevestigen", "Authorisation et capture"
"Can not connect payment service. Please try again later.","Ne peut pas se connecter au service de paiement. Merci de réessayer ultérieurement"
"Capture Mode set to Manual","Le mode de capture est manuel"
"Customer was redirected to Adyen.", "Le client a été redirigé vers Adyen."
"Order can not Hold","La commande ne peut attendre"
"Order can not be canceled", "La commande ne peut être annulée"
"Order rows: <br />","Lignes de commande: <br />"
"Shipment cost: %s %s <br />","Coût de livriaison: %s %s <br />"
"System error, please try again later","Erreur système, merci de réessayer ultérieurement"
"System error, please try again later: %s", "Erreur système, merci de réessayer ultérieurement: %s"
"The payment is REFUSED by Adyen.", "Le paiement a été refusé par Adyen."
"You will be redirected to Adyen in a few seconds.", "Vous allez maintenant être redirigé dans quelques secondes."
"Your payment failed, Please try again later","Votre paiement a échoué"
"--Please Select--","--Merci de sélectionner--"
"Account Number","Numéro de compte"
"Account holder name","Nom du titulaire du compte"
"Account holder: %s","Titulaire du compte: %s"
"Account number: xxx%s","Numéro de compte: xxx%s"
"Bank Location","Emplacement de la banque"
"Bank Location (City)","Emplacement de la banque(Ville)"
"Bank Location ID","ID de l'emplacement de la banque"
"Bank Name","Nom de la banque"
"Bank code: %s", "Code de la banque:%s"
"Bank name: %s","Nom de la banque: %s"
"Card Verification Number","Numéro de vérification de la carte"
"Credit Card Number","Numéro de la carte"
"Credit Card Number: xxxx-%s","Numéro de la carte: xxxx-%s"
"Credit Card Type", "Type de carte"
"Credit Card Type: %s","Type de carte: %s"
"Expiration Date","Date d'expiration"
"Expiration Date: %s/%s","Date d'expiration: %s/%s"
"Name on Card","Nom sur la carte"
"Name on the Card: %s","Nom sur la carte: %s"
"Payment Method: %s","Moyen de paiement: %s"
"Submitting payment information...","Envoi des informations de paiement..."
"What is this?","Qu'est ce que c'est?"
"Order email sent to shopper.","Email de la commande envoyé au client."
"The payment is PENDING by Adyen.","Le paiement est en attendre par Adyen."
"The payment is AUTHORIZED by Adyen.","Le paiement est autorisé par Adyen."
"There has an error occurred with your Adyen payment.","Une erreur est survenue durant votre paiement avec Adyen."
"There was an error with your payment.","Il y a eu une erreur avec votre paiement."
"You will be redirected to Adyen website when you place an order.","Vous allez être redirigé vers le site d'Adyen au passage de votre commande."
"Your payment is cancelled.","Votre paiement a été annulé."
"Your payment is CANCELLED","Votre paiement a été ANNULE."
"Your payment is pending.","Votre paiement est en attente."
"Your payment is refused.","Votre paiement est refusé."
"Your payment is authorized.","Votre paiement est autorisé."
"Remember these details","Sauvegarder ces informations"
"Choose Your Bank","Choisir votre banque"
"You chose an invalid bank","Vous avez choisi une banque invalide"
You have cancelled the order. Please try again"
